Date (MM/DD/YYYY),NSDL Published NAV,Fund Manager Published NAV
06/24/2014,14.8450,14.845
07/14/2014,14.6360,14.636
07/18/2014,15.0470,15.047
07/30/2014,15.3170,15.317
08/21/2014,15.5310,15.531
09/03/2014,15.9630,15.963
09/22/2014,16.0380,16.038
09/25/2014,15.5780,15.578
12/09/2014,16.4280,16.428
01/28/2015,17.5560,17.556
02/11/2015,17.0000,17
02/12/2015,17.1650,17.165
03/13/2015,17.0590,17.059
03/23/2015,16.8660,16.866
04/20/2015,16.6910,16.691
05/11/2015,16.4610,16.461
05/14/2015,16.2610,16.261
05/25/2015,16.5480,16.548
06/01/2015,16.6860,16.686
06/03/2015,16.1170,16.117
06/09/2015,15.9170,15.917
06/11/2015,15.8050,15.805
07/20/2015,17.1290,17.129
08/17/2015,16.8870,16.887
09/07/2015,15.0860,15.086
09/08/2015,15.3430,15.343
11/21/2015,15.7458,15.7457
11/27/2015,15.9020,15.902
12/11/2015,15.2510,15.251
12/14/2015,15.3140,15.314
12/16/2015,15.5300,15.53
12/22/2015,15.6010,15.601
12/29/2015,15.8810,15.881
01/19/2016,14.8650,14.865
02/10/2016,14.4260,14.426
02/22/2016,14.5050,14.505
02/23/2016,14.2610,14.261
02/24/2016,14.0870,14.087
02/26/2016,14.0850,14.085
03/21/2016,15.5080,15.508
03/30/2016,15.5760,15.576
05/03/2016,15.6320,15.632
05/09/2016,15.8540,15.854
05/16/2016,15.8440,15.844
05/31/2016,16.5480,16.548
06/10/2016,16.6060,16.606
06/18/2016,16.6277,16.6276
07/26/2016,17.5850,17.585
07/29/2016,17.7050,17.705
08/03/2016,17.5350,17.535
08/04/2016,17.5590,17.559
08/10/2016,17.6280,17.628
09/09/2016,18.3630,18.363
09/28/2016,18.1100,18.11
10/24/2016,18.1160,18.116
11/03/2016,17.6290,17.629
12/06/2016,16.9550,16.955
12/08/2016,17.1870,17.187
12/23/2016,16.6490,16.649
01/30/2017,17.9560,17.956
02/10/2017,18.2880,18.288
02/13/2017,18.2950,18.295
02/23/2017,18.5190,18.519
04/11/2017,19.1310,19.131
04/17/2017,18.9440,18.944
04/24/2017,19.1020,19.102
05/03/2017,19.3160,19.316
05/16/2017,19.6910,19.691
05/31/2017,19.8300,19.83
07/07/2017,19.9570,19.957
07/20/2017,20.4630,20.463
08/02/2017,20.6990,20.699
08/03/2017,20.5870,20.587
08/31/2017,20.3110,20.311
09/13/2017,20.6680,20.668
09/18/2017,20.8300,20.83
10/31/2017,21.3060,21.306
11/27/2017,21.5150,21.515
01/02/2018,21.6720,21.672
01/11/2018,22.0500,22.05
02/05/2018,21.9650,21.965
02/08/2018,21.8570,21.857
02/16/2018,21.5310,21.531
02/20/2018,21.3250,21.325
02/26/2018,21.7660,21.766
03/14/2018,21.4480,21.448
03/28/2018,20.9250,20.925
03/31/2018,20.9250,20.925
04/03/2018,21.2450,21.245
04/27/2018,22.0760,22.076
05/14/2018,22.1500,22.15
05/21/2018,21.5330,21.533
05/24/2018,21.6160,21.616
05/29/2018,21.9020,21.902
06/12/2018,22.3390,22.339
06/15/2018,22.3250,22.325
06/29/2018,21.9620,21.962
08/06/2018,23.2940,23.294
08/07/2018,23.2690,23.269
08/21/2018,23.7590,23.759
08/24/2018,23.7320,23.732
10/03/2018,22.1410,22.141
10/19/2018,21.1900,21.19
11/01/2018,21.3820,21.382
11/26/2018,21.9470,21.947
12/18/2018,22.4420,22.442
02/01/2019,22.3040,22.304
02/28/2019,22.1270,22.127
03/06/2019,22.6470,22.647
03/19/2019,23.5210,23.521
05/10/2019,22.9690,22.969
05/13/2019,22.6590,22.659
07/02/2019,24.0580,24.058
07/24/2019,22.9330,22.933
08/16/2019,22.4610,22.461
09/30/2019,23.2480,23.248
11/25/2019,24.3510,24.351
12/20/2019,24.6240,24.624
12/23/2019,24.6060,24.606
01/01/2020,24.4880,24.488
01/15/2020,24.8434,29.2075
01/21/2020,24.5222,29.417
03/02/2020,22.4280,22.428
03/13/2020,20.1310,20.131
03/20/2020,17.8960,17.896
03/27/2020,17.7150,17.715
04/27/2020,19.1140,19.114
05/08/2020,18.8370,18.837
05/15/2020,18.6930,18.693
06/05/2020,20.6450,20.645
06/19/2020,20.7620,20.762
07/14/2020,21.4580,21.458
07/22/2020,22.4860,22.486
07/24/2020,22.5830,22.583
08/21/2020,23.0560,23.056
09/03/2020,23.3250,23.325
09/04/2020,22.9440,22.944
09/22/2020,22.5630,22.563
09/24/2020,21.8220,21.822
09/25/2020,22.3480,22.348
10/12/2020,23.9750,23.975
10/23/2020,24.0620,24.062
10/26/2020,23.7350,23.735
12/14/2020,27.4620,27.462
12/22/2020,27.1650,27.165
12/24/2020,27.7400,27.74
01/12/2021,29.3930,29.393
01/13/2021,29.4660,29.466
01/21/2021,29.4170,29.417
02/02/2021,29.6600,29.66
02/03/2021,29.9146,29.915
02/22/2021,29.6600,29.66
03/15/2021,30.1260,30.126
03/25/2021,28.8990,28.899
03/30/2021,29.8320,29.832
05/03/2021,29.2970,29.297
05/20/2021,29.9650,29.965
06/09/2021,31.4820,31.482
06/14/2021,31.8670,31.867
06/17/2021,31.6879,31.6877
06/21/2021,31.7480,31.748
06/28/2021,31.9070,31.907
07/14/2021,32.0000,32
07/19/2021,31.8360,31.836
07/28/2021,31.7180,31.718
08/05/2021,32.7390,32.739
