Date,SM001019,SM001020,SM002019,SM003019,SM005011,SM007011,SM008011,SM008013,SM010010,SM010011,SM011009,SM013009,SM014009
10/01/2025,10.0,,10.0,10.0,10.0,10.0,10.0,10.0,10.0,,10.0,10.0,10.0
10/06/2025,10.0033,,10.0024,10.0004,10.0,10.0003,9.9998,9.9993,10.0002,,10.0007,9.9997,9.9997
10/07/2025,10.0045,,10.0039,10.0012,9.9995,10.002,9.9993,9.9999,10.0017,,10.0013,9.9986,9.9986
10/08/2025,10.0058,,10.005,10.0013,10.0005,10.0022,9.9995,10.0,10.003,,10.0015,9.9998,9.9988
10/09/2025,10.0068,,10.0058,10.002,10.0018,10.0028,10.0001,10.0007,10.0037,,10.0028,10.0002,9.9999
10/10/2025,10.0081,,10.0065,10.0031,10.0031,10.0035,10.0013,10.002,10.005,,10.0042,10.0015,10.0008
10/13/2025,10.0121,10.0,10.0087,10.0058,10.0137,10.0077,10.0047,10.0052,10.0072,10.0,10.0078,10.005,10.0046
10/14/2025,10.0135,10.0,10.0096,10.0057,9.9775,10.009,10.0059,10.0065,10.0084,10.0,10.0092,10.0063,10.0021
10/15/2025,10.015,10.0,10.0106,10.0068,10.0747,10.0103,10.007,10.0078,10.0098,10.0,10.0106,10.0076,10.0078
10/16/2025,10.0164,10.0,10.0117,10.0081,10.1364,10.0116,10.0076,10.009,10.0107,10.0,10.0119,10.0086,10.0504
10/17/2025,10.0178,9.9942,10.0127,10.0095,10.1395,10.0129,10.0088,10.0103,10.0121,10.0016,10.0133,10.0252,10.0615
10/20/2025,10.0221,9.9981,10.016,10.0135,10.1748,10.0167,10.0115,10.0107,10.0155,10.0044,10.0161,10.0199,10.0772
10/23/2025,10.0266,10.0025,10.0185,10.0163,10.0989,10.0208,10.015,10.0348,10.0195,10.0087,10.02,10.0098,10.147
10/24/2025,10.0282,10.0041,10.0197,10.0173,10.0721,10.0222,10.0162,10.0267,10.0208,10.0103,10.0211,9.9992,10.1271
10/27/2025,10.0328,10.0085,10.0228,10.0201,10.1407,10.015,10.0201,10.0564,10.0249,10.0145,10.0252,10.0441,10.1509
10/28/2025,10.0343,10.0099,10.0239,10.0229,10.1248,10.0018,10.0557,10.0498,10.0263,10.0145,10.0266,10.0433,10.152
10/29/2025,10.0354,10.0107,10.0251,10.0237,10.1859,10.06,10.0338,10.0713,10.0277,10.0159,10.028,10.0508,10.1527
10/30/2025,10.0365,10.012,10.026,10.0238,10.1347,10.0228,10.0356,10.0321,10.029,10.0172,10.0294,10.034,10.1193
10/31/2025,10.0378,10.0134,10.0271,10.0244,10.0841,10.0212,10.0369,9.9995,10.0303,10.0185,10.0277,10.0027,10.1086
11/03/2025,10.0425,10.0181,10.0311,10.0261,10.1269,10.0252,10.0401,10.0996,10.0343,10.0216,9.974,10.0007,10.1139
11/04/2025,10.0433,10.0184,10.0324,10.0266,10.0447,10.0126,10.0398,10.0576,10.0352,10.0229,9.9831,9.9887,10.0793
11/06/2025,10.0464,10.0215,10.0345,10.0293,9.9678,10.0078,10.0388,10.0089,10.0369,10.0251,9.9478,9.9636,10.072
11/07/2025,10.0477,10.023,10.0382,10.0301,9.9613,10.0063,10.0399,10.0006,10.0377,10.0264,9.9295,9.9514,10.103
11/10/2025,10.0526,10.0279,10.0406,10.0348,9.9856,10.0235,10.0471,10.0372,10.0416,10.0304,9.926,9.9587,10.1186
11/11/2025,10.0539,10.0291,10.0415,10.0446,10.0338,10.0199,10.0529,10.0968,10.0778,10.0317,9.9527,9.977,10.0743
11/12/2025,10.0555,10.0307,10.0424,10.0493,10.0957,10.0652,10.0473,10.124,10.0857,10.0329,9.9988,9.9951,10.0934
11/13/2025,10.0572,10.0324,10.0433,10.0498,10.0722,10.067,10.0551,10.1455,10.0894,10.0342,10.0534,9.9943,10.0636
